MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_Ssn_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Yr_Sold,Sale_Type,Sale_Condition,address,Dist_from_Center_ft,Log_SalePrice
60,RL,75.0,10000,Pave,None,2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,763.0,763.0,GasA,4,1,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,7,1,3,Attchd,1993.0,3,2.0,440.0,3,3,2,157,84,0,0,0,0,0,0,None,0,4,2010,WD,Normal,3835 BROOKDALE AVE,14435.154528146484,12.077670930725649
20,RL,64.0,7980,Pave,None,2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,0,4,Shed,500,3,2010,WD,Normal,3720 COLUMBINE CIR,13731.457375565617,12.128111104060462
60,RL,63.0,8402,Pave,None,2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,789.0,789.0,GasA,4,1,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,7,1,4,Attchd,1998.0,3,2.0,393.0,3,3,2,0,75,0,0,0,0,0,0,None,0,5,2010,WD,Normal,2122 WINDFIELD DR,14193.438528902358,12.10293188661066
20,RL,85.0,10176,Pave,None,3,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,4,6,637.0,1,0.0,663.0,1300.0,GasA,4,1,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,7,1,1,Attchd,1990.0,1,2.0,506.0,3,3,2,192,0,0,0,0,0,0,0,None,0,2,2010,WD,Normal,3629 FLETCHER BLVD,13595.382588432341,12.052338545588132
120,RL,60.0,6820,Pave,None,2,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,3,6,368.0,4,1120.0,0.0,1488.0,GasA,3,1,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,4,4,7,0,0,Attchd,1985.0,2,2.0,528.0,3,3,2,0,54,0,0,140,0,0,0,None,0,6,2010,WD,Normal,3904 STONE BROOKE CIR,14029.721253288486,12.26434155365415
60,RL,47.0,53504,Pave,None,1,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,5,3,PConc,4,3,4,5,1416.0,1,0.0,234.0,1650.0,GasA,5,1,SBrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,5,12,4,1,4,BuiltIn,2003.0,3,3.0,841.0,3,3,2,503,36,0,0,210,0,0,0,None,0,6,2010,WD,Normal,4126 LAURA CT,14517.041441902054,13.195613839143922
50,RL,152.0,12134,Pave,None,2,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,Wood,4,3,3,6,427.0,1,0.0,132.0,559.0,GasA,4,1,SBrkr,1080,672,0,1752,0.0,0.0,2,0,4,1,3,8,7,0,0,Basement,1988.0,2,2.0,492.0,3,3,2,325,12,0,0,0,0,0,0,None,0,6,2010,WD,Normal,4011 DAWES DR,13872.172849403107,12.007621706806335
20,RL,88.0,11394,Pave,None,3,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,3,6,1445.0,1,0.0,411.0,1856.0,GasA,5,1,SBrkr,1856,0,0,1856,1.0,0.0,1,1,1,1,5,8,7,1,5,Attchd,2010.0,3,3.0,834.0,3,3,2,113,0,0,0,0,0,0,0,None,0,6,2010,New,Partial,1316 KINYON CIR,13580.309298738544,12.885202034321916
20,RL,140.0,19138,Pave,None,3,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,2,120.0,1,0.0,744.0,864.0,GasA,5,1,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,3,4,7,0,0,Detchd,1951.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,0,0,None,0,6,2010,WD,Normal,917 TOP O HOLLOW RD,12606.93546366939,11.856515169360305
20,RL,85.0,13175,Pave,None,3,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,3,CBlock,4,3,1,5,790.0,3,163.0,589.0,1542.0,GasA,3,1,SBrkr,2073,0,0,2073,1.0,0.0,2,0,3,1,3,7,6,2,3,Attchd,1978.0,1,2.0,500.0,3,3,2,349,0,0,0,0,0,0,3,None,0,2,2010,WD,Normal,3309 CLINTON CT,12972.440729493697,12.254862809699606
20,RL,105.0,11751,Pave,None,2,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,7,1,3,Attchd,1977.0,2,2.0,546.0,3,3,2,0,122,0,0,0,0,0,3,None,0,1,2010,COD,Normal,2851 MONROE DR,11164.65850242157,12.154779351142624
85,RL,85.0,10625,Pave,None,3,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,3,CBlock,4,3,4,6,885.0,2,168.0,0.0,1053.0,GasA,3,1,SBrkr,1173,0,0,1173,1.0,0.0,2,0,3,1,4,6,7,2,3,Attchd,1974.0,2,2.0,528.0,3,3,2,0,120,0,0,0,0,0,3,None,0,1,2010,WD,Family,2815 MONROE DR,11149.344250154682,12.043553716032399
60,FV,72.5,7500,Pave,None,3,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,533.0,1,0.0,281.0,814.0,GasA,5,1,SBrkr,814,860,0,1674,1.0,0.0,2,1,3,1,4,7,7,0,0,Attchd,2000.0,2,2.0,663.0,3,3,2,0,96,0,0,0,0,0,0,None,0,1,2010,WD,Normal,2738 SOMERSET DR,11456.050219681256,12.283033686666302
20,RL,73.0,11241,Pave,None,2,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,1,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,7,1,3,Attchd,1970.0,3,2.0,480.0,3,3,2,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,3328 JEFFERSON CIR,12081.755136201118,11.911701584927597
20,RL,73.0,12537,Pave,None,2,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,6,734.0,1,0.0,344.0,1078.0,GasA,5,1,SBrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,3,6,7,1,2,Attchd,1971.0,3,2.0,500.0,3,3,2,0,0,0,0,0,0,0,0,None,0,4,2010,WD,Normal,1115 GARNER CIR,11915.048025771579,11.917723684090689
20,RL,65.0,8450,Pave,None,3,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,4,775.0,1,0.0,281.0,1056.0,GasA,5,1,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,6,7,1,2,Attchd,1968.0,1,1.0,304.0,3,3,2,0,85,184,0,0,0,0,0,None,0,7,2010,WD,Normal,1416 JEFFERSON ST,12305.904689565981,11.863582336583399
20,RL,70.0,8400,Pave,None,3,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,1,5,804.0,3,78.0,0.0,882.0,GasA,3,1,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,3,4,7,0,0,Attchd,1970.0,3,2.0,525.0,3,3,2,240,0,0,0,0,0,0,3,None,0,4,2010,WD,Normal,3203 GARNER AVE,11599.47046659903,11.744037185933616
20,RL,70.0,10500,Pave,None,3,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,432.0,1,0.0,432.0,864.0,GasA,3,1,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,3,5,7,1,1,None,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,None,0,4,2010,ConLI,Normal,808 TOP O HOLLOW RD,12388.473121126819,11.652687407345388
120,RH,26.0,5858,Pave,None,2,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,1051.0,4,0.0,354.0,1405.0,GasA,5,1,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,7,1,2,Attchd,1999.0,3,2.0,511.0,3,3,2,203,68,0,0,0,0,0,0,None,0,6,2010,WD,Normal,3409 POLARIS DR,12216.630041995779,12.122691036591123
160,RM,21.0,1680,Pave,None,3,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3,3,1,3,156.0,1,0.0,327.0,483.0,GasA,3,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,5,7,0,0,Detchd,1971.0,1,1.0,264.0,3,3,2,275,0,0,0,0,0,0,0,None,0,2,2010,COD,Normal,1315 BARKLEY CT,11075.994912513752,11.472103470449973
160,RM,21.0,1680,Pave,None,3,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,3,1,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,7,0,0,Detchd,1997.0,1,1.0,320.0,3,3,2,0,0,0,0,0,0,0,0,None,0,3,2010,WD,Normal,1342 BARKLEY CT,10933.595590329023,11.566466231898259
160,RM,21.0,1680,Pave,None,3,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,525.0,525.0,GasA,3,1,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,7,0,0,Detchd,1971.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,None,0,3,2010,WD,Family,1314 BARKLEY CT,10923.745753841578,11.385092093460344
120,RL,53.0,4043,Pave,None,3,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,5,360.0,1,0.0,709.0,1069.0,GasA,3,1,SBrkr,1069,0,0,1069,0.0,0.0,2,0,2,1,3,4,7,1,2,Attchd,1977.0,2,2.0,440.0,3,3,2,0,55,0,0,165,0,0,0,None,0,7,2010,WD,Normal,2921 NORTHWESTERN AVE,10201.123434086685,11.755871643580617
160,RL,24.0,2280,Pave,None,3,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,BrkCmn,None,0.0,3,3,CBlock,3,3,1,5,514.0,1,0.0,341.0,855.0,GasA,3,1,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,4,6,7,1,3,Attchd,1975.0,1,2.0,440.0,3,3,2,173,0,0,0,0,0,0,0,None,0,6,2010,WD,Normal,1113 KENNEDY ST,10584.934416775739,11.917723684090689
120,RL,24.0,2280,Pave,None,3,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,BrkCmn,None,0.0,3,3,CBlock,4,3,1,1,0.0,1,0.0,836.0,836.0,GasA,5,1,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,3,4,7,0,0,Attchd,1975.0,1,1.0,308.0,3,3,2,0,30,0,0,0,0,0,0,None,0,6,2010,WD,Normal,1117 KENNEDY ST,10596.143194551098,11.695247021764184
160,RL,24.0,2280,Pave,None,3,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,BrkCmn,None,0.0,3,3,CBlock,4,3,1,5,311.0,1,0.0,544.0,855.0,GasA,2,1,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,3,7,7,1,3,Attchd,1978.0,1,2.0,440.0,3,3,2,26,0,0,0,0,0,0,0,None,0,7,2010,WD,Normal,1139 JOHNSON ST,10089.581982420661,11.891361900690473
60,RL,102.0,12858,Pave,None,2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,5,3,PConc,5,3,1,1,0.0,1,0.0,1590.0,1590.0,GasA,5,1,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,5,10,7,1,4,Attchd,2009.0,3,3.0,751.0,3,3,2,144,133,0,0,0,0,0,0,None,0,1,2010,New,Partial,3033 STOCKBURY ST,17685.77826618284,12.837775180646194
20,RL,98.0,11478,Pave,None,3,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,5,1,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2008.0,2,3.0,772.0,3,3,2,0,50,0,0,0,0,0,0,None,0,5,2010,WD,Normal,3120 STOCKBURY ST,17705.21944012244,12.631340380934517
20,RL,83.0,10159,Pave,None,2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,5,3,PConc,5,3,3,6,1646.0,1,0.0,284.0,1930.0,GasA,5,1,SBrkr,1940,0,0,1940,1.0,0.0,2,1,3,1,5,8,7,1,4,Attchd,2010.0,3,3.0,606.0,3,3,2,168,95,0,0,0,0,0,0,None,0,4,2010,New,Partial,3026 WESTON DR,17222.371291409523,12.88712700173598
20,RL,94.0,12883,Pave,None,2,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1544.0,1544.0,GasA,5,1,SBrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2009.0,2,3.0,868.0,3,3,2,0,35,0,0,0,0,0,0,None,0,6,2010,New,Partial,3006 WESTON DR,17119.2646210657,12.58087577645635
20,RL,95.0,12182,Pave,None,3,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4,3,2,4,1201.0,1,0.0,340.0,1541.0,GasA,5,1,SBrkr,1541,0,0,1541,0.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2005.0,2,2.0,532.0,3,3,2,0,70,0,0,0,0,0,0,None,0,5,2010,New,Partial,3005 BECKLEY ST,17000.092203965225,12.301382825334498
20,RL,90.0,11520,Pave,None,3,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,4,3,PConc,5,3,1,6,110.0,1,0.0,1588.0,1698.0,GasA,5,1,SBrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,5,7,7,1,4,Attchd,2005.0,3,3.0,730.0,3,3,2,192,74,0,0,0,0,0,0,None,0,6,2010,WD,Normal,3019 BECKLEY ST,17073.979463269894,12.524526376648708
20,RL,79.0,14122,Pave,None,2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CemntBd,BrkFace,240.0,4,3,PConc,5,3,1,6,28.0,1,0.0,1794.0,1822.0,GasA,5,1,SBrkr,1822,0,0,1822,0.0,0.0,2,0,3,1,5,8,7,1,4,Attchd,2005.0,2,3.0,678.0,3,3,2,0,119,0,0,0,0,0,0,None,0,2,2010,WD,Normal,4112 HASTINGS AVE,16986.3119817531,12.464583340681674
20,RL,70.0,10171,Pave,None,2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,4,3,PConc,4,3,1,6,2.0,1,0.0,1515.0,1517.0,GasA,5,1,SBrkr,1535,0,0,1535,0.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2004.0,2,2.0,532.0,3,3,2,0,0,0,0,0,0,0,0,None,0,3,2010,WD,Normal,4020 HASTINGS AVE,16706.133198520292,12.273731294003989
20,RL,100.0,12919,Pave,None,2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,5,3,PConc,5,3,4,6,2188.0,1,0.0,142.0,2330.0,GasA,5,1,SBrkr,2364,0,0,2364,1.0,0.0,2,1,2,1,5,11,7,2,4,Attchd,2009.0,3,3.0,820.0,3,3,2,0,67,0,0,0,0,0,0,None,0,3,2010,New,Partial,4101 VALLEY VIEW RD,17333.286093452654,13.323926946863102
120,RL,44.0,6371,Pave,None,2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,4,3,PConc,4,3,2,6,733.0,1,0.0,625.0,1358.0,GasA,5,1,SBrkr,1358,0,0,1358,1.0,0.0,2,0,2,1,4,6,7,1,4,Attchd,2010.0,2,2.0,484.0,3,3,2,192,35,0,0,0,0,0,0,None,0,6,2010,New,Partial,2929 ROXBORO DR,16016.810270519047,12.319401330837177
